rank,Title,avg_rating,review_count,positive_reviews,positive_pct,review_pct,weighted_score
1,The Hobbit,4.68,18222,17040,93.51,1.6855,19.94
2,Pride and Prejudice,4.531,17968,15920,88.6,1.662,19.279
3,Mere Christianity,4.51,5520,4857,87.99,0.5106,16.875
4,"The Hobbit; Or, There and Back Again",4.688,3665,3435,93.72,0.339,16.707
5,The Hobbit There and Back Again,4.682,3669,3433,93.57,0.3394,16.688
6,"The Hobbitt, or there and back again; illustrated by the author.",4.681,3660,3425,93.58,0.3385,16.682
7,The Hobbit or There and Back Again,4.678,3617,3381,93.48,0.3346,16.648
8,To kill a mockingbird,4.616,3317,3035,91.5,0.3068,16.253
9,Persuasion,4.369,5160,4372,84.73,0.4773,16.221
10,A Tree Grows in Brooklyn,4.708,2773,2590,93.4,0.2565,16.21
11,Wuthering Heights,4.096,8660,6552,75.66,0.801,16.127
12,Of Mice and Men,4.38,4677,4010,85.74,0.4326,16.074
13,Gone with the Wind,4.683,2586,2370,91.65,0.2392,15.982
14,The Picture of Dorian Gray,4.279,5316,4398,82.73,0.4917,15.942
15,East of Eden,4.618,2745,2490,90.71,0.2539,15.88
16,Brave New World,4.227,5136,4178,81.35,0.4751,15.686
17,Great Expectations,4.179,5672,4556,80.32,0.5247,15.685
18,Little Women,4.426,3295,2825,85.74,0.3048,15.571
19,A Christmas Carol (Classic Fiction),4.687,1914,1800,94.04,0.177,15.381
20,Jane Eyre,4.55,2360,2126,90.08,0.2183,15.345
21,1984,4.677,1805,1669,92.47,0.167,15.231
22,The Great Gatsby,4.16,4269,3330,78.0,0.3949,15.103
23,The richest man in Babylon,4.59,1851,1674,90.44,0.1712,14.997
24,"The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)",4.563,1934,1701,87.95,0.1789,14.996
25,The Lord of the Rings Trilogy: Three Volumes in Slipcase,4.563,1934,1701,87.95,0.1789,14.996
26,The Lord of the Rings (3 Volume Set),4.563,1934,1701,87.95,0.1789,14.996
27,The Lord of the Rings Trilogy 3 Volumes,4.562,1931,1698,87.93,0.1786,14.991
28,"The Lord of the Rings Trilogy (The Fellowship of the Ring, The Two Towers, The Return of the King, I, II, III)",4.562,1930,1697,87.93,0.1785,14.989
29,The Hitchhiker's Guide to the Galaxy,4.365,2710,2266,83.62,0.2507,14.986
30,The Lord of the Rings - Boxed Set,4.561,1927,1694,87.91,0.1782,14.984
31,The Lord of the Rings Box Set,4.559,1916,1683,87.84,0.1772,14.966
32,Harper Lee's To Kill a Mockingbird (Barron's Book Notes),4.617,1657,1517,91.55,0.1533,14.865
33,To Kill a Mocking Bird,4.617,1659,1518,91.5,0.1535,14.865
34,To Kill A Mockingbird,4.617,1657,1517,91.55,0.1533,14.865
35,To Kill a Mockingbird,4.616,1658,1517,91.5,0.1534,14.863
36,Pride & Prejudice (Penguin Classics),4.532,1801,1596,88.62,0.1666,14.756
37,Pride & Prejudice (New Windmill),4.532,1800,1595,88.61,0.1665,14.754
38,Pride & Prejudice (Classic Library),4.532,1798,1593,88.6,0.1663,14.75
39,Slaughterhouse-Five,4.328,2485,2077,83.58,0.2299,14.695
40,The Count of Monte Cristo,4.552,1667,1475,88.48,0.1542,14.668
41,Crime and Punishment,4.404,2125,1823,85.79,0.1966,14.654
42,Alice's Adventures in Wonderland,4.239,2825,2257,79.89,0.2613,14.63
43,Man's Search for Meaning,4.734,1174,1102,93.87,0.1086,14.533
44,Atlas Shrugged,3.95,4752,3383,71.19,0.4396,14.525
45,The Two Towers,4.636,1341,1252,93.36,0.124,14.499
46,The Stranger,4.157,2498,1958,78.38,0.2311,14.122
47,Fahrenheit 451,4.28,1984,1627,82.01,0.1835,14.114
48,Treasure Island,4.348,1750,1478,84.46,0.1619,14.101
49,Cat's Cradle,4.375,1647,1411,85.67,0.1523,14.074
50,The Scarlet Letter A Romance,3.924,3848,2696,70.06,0.3559,14.068
51,Jane Eyre (New Windmill),4.55,1190,1072,90.08,0.1101,13.995
52,Jane Eyre (Signet classics),4.55,1190,1072,90.08,0.1101,13.995
53,Jane Eyre (Penguin Classics),4.55,1190,1072,90.08,0.1101,13.995
54,Jane Eyre: Complete and Unabridged (Puffin Classics),4.55,1190,1072,90.08,0.1101,13.995
55,Jane Eyre (Simple English),4.55,1190,1072,90.08,0.1101,13.995
56,Jane Eyre (Large Print),4.55,1190,1072,90.08,0.1101,13.995
57,Jane Eyre (Everyman's Classics),4.55,1190,1072,90.08,0.1101,13.995
58,Catch-22,4.358,1607,1373,85.44,0.1486,13.971
59,A Christmas Carol (Enriched Classics (Pocket)),4.687,957,900,94.04,0.0885,13.97
